;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940
JANEIRO;233,8;276;286,7;250,2;383,8;347,8;420,4;223;385,2;275;399;640,6;256,1;257,2;255,3;224,4;529,1;315;378,2;172,4;132,6;603,1;465,8;237,8;414,5;208,8;226,4;348,9;253,9;457,2;235,6;315,4;225,7;430,7;229,7;461,9;320,8;283,1;253,6;333;337,4;291,9;263,3;429;447,8;421,2;425,2;409,2;387;263,4;255;430,2;122,6;420,2;387,4;651,2;334,6;52,7;430,8;271,5;434,3;92,8;200,6;208,8;236,4;103,9;362,6;98,1;254,3;323,2;384;509,4;368,5;163,9;397,5;330,7;227,4;265;363,6;180,1;181,2;268,2
FEVEREIRO;287,6;916,6;724,1;317,4;81,4;321,2;310,8;255,6;333,7;158;459;290,2;189,4;129,4;229;176;184,9;386,8;93,2;172,4;193,4;291;204,6;504,2;46;552,6;674,9;429;286,9;60;353,8;122,4;601,4;674,9;547,7;198,2;302,6;40,6;471;211,8;74,6;347,9;125,8;282;23,2;284,2;497,8;79,6;346,7;277,2;492,8;524,3;298,6;82;620,4;236,7;157,3;109,5;201,5;247,7;530,9;297,6;644,4;129;403,6;423,9;189,7;101,7;402,4;332,1;291,6;274,5;230,5;210,7;265,4;137,7;404,6;693,7;123,1;507;258,2;276,7
MARÇO;205,6;454,4;331,5;357,4;543,1;181,7;248,9;327,4;426,5;157,3;441,8;193,7;115,3;180,4;182,8;386,6;306,2;230,5;303,9;182,1;118,2;368;155,2;313,5;83,3;770,5;440,3;558,7;281,4;271;593,4;342,3;436,1;313,6;504,6;201,7;167,8;295,7;413,4;204,9;315,2;258;347,7;506,1;223;272,4;128;231,6;232,1;340,6;271,8;361,6;202,7;315,2;574,4;454,2;291,9;164;171,5;204,4;177,6;133,1;361,7;548,5;264,9;1.198,40;164,8;183,4;217,3;323,6;270,9;408,5;212,7;307,8;230;471,6;389,7;304,2;163,9;251;490,2;414,6
ABRIL;325,2;67,6;286,7;210,6;356,2;36,2;160,3;352,5;132,2;360,5;206,7;410,2;128,8;360,8;340,8;120,6;472,8;166,2;121,8;138,9;47,4;32,1;168,4;81,2;156,3;540,4;158,8;222,6;115,1;90,6;181,3;360,8;304,8;432,1;186,8;305,7;411,9;165,6;395,8;192,9;181,4;149,9;197,8;106,4;410,6;361,6;136,2;132,6;165,8;208;285,4;153,4;249;200,4;171,8;210,8;447,3;190,8;22,8;221;190,6;207,6;90,8;312,8;252,8;340,6;195,5;241,2;271;81,4;251;283,1;159,1;134,5;157,2;105,4;136,7;347;117;228,8;288,2;144,7
MAIO;;122,8;479,6;87,8;151,1;225,2;172,4;190,2;151,2;145,5;139,9;143,2;144,8;104,1;138;143,5;203,4;103,2;92,8;176,6;210,7;64,4;96,9;212,4;178,6;167,9;200,7;57,1;173,5;205,7;166,5;109,4;298,4;376,4;153,9;279,6;83,8;49,6;262,8;78,9;162,4;43,2;117,3;108;154,6;250,6;134,8;28,8;295;212,2;177,4;99,8;124,5;126;108,6;166;287,9;116,9;108,3;129,9;116,4;105,7;217,5;197,5;28,8;242,4;171;249,6;240,4;293,3;83,7;109,5;99,8;230,9;154,6;130,8;114,2;89,9;134,5;62,8;213,5;96,5
JUNHO;;234;97,8;200,3;176;163,6;157,1;132,7;169;279,8;66;92,4;104,4;140,3;61,1;44,2;99;88,2;46;251,2;43,6;69,2;158,3;59,7;190,1;167,6;188,7;171,4;106,8;39,3;169,7;68,5;219;150,1;116,4;261,2;94,8;11,7;203,4;253,6;81,8;119,6;76;61;75,6;109,8;75,4;159,6;47,6;26;231;134,3;134,2;68,4;123,4;93,2;44;146,8;59,4;39,8;167,3;100,2;5,4;106,8;57,1;283,4;62,2;78,6;38,1;214;59,4;83,4;143,6;9,6;149;141,2;316,3;59,5;109,8;137;71,4;34,1
JULHO;;162,4;185,8;93,8;41,6;13,6;117,8;97,6;220,7;174,7;87,1;242;312,2;0;210;112,7;153,2;209,1;91,8;47,7;147,4;77,2;158,9;46,5;23,2;90,3;60,9;100,5;54,4;184,6;106,2;234,9;339,4;84,9;396,4;99,5;16,8;133,4;38,6;110,9;104,3;101,3;156,5;64;17,6;180,8;121;98;327,6;53,6;65,6;63,4;63,2;108,6;140;72,2;272;93,8;67,3;81,3;161,8;64,1;53,7;77,6;146,3;97,9;108,9;75,9;116,1;45,7;56,5;57,3;108,7;214,8;168,1;56,6;118,8;107,8;29,5;106,1;113;18,3
AGOSTO;;204,8;203,8;154,2;165,2;132,6;43,4;99,9;47,8;14,4;173,7;137,6;107;201,2;76,9;103,2;62,6;51,6;153,6;69,2;96,6;102,8;79,2;88,3;211,7;97,2;278,8;85,9;84;87,1;82,1;101,3;70,1;14,4;53,9;70,4;42,6;161,2;45;109,5;97,7;101,9;67,8;67,2;167;211,4;39,4;53,2;94,6;200,2;92,8;134,2;151;71;42,2;217,8;23;109,6;70,9;67,2;14,2;150,4;157;116,2;155,2;132,5;117,2;80,4;171,6;51,1;85;73,8;128,2;117;156,2;34,5;40,1;29,7;254,2;58,6;79,6;59,4
SETEMBRO;;205,6;241,6;81,5;26,2;76,5;246,3;118,8;158,2;71,8;108,2;160,1;296,2;199,1;26,2;163,1;262,8;113;78,2;82,8;113,9;221,6;114,2;282,7;237,4;318,7;293,1;199,5;288,8;215,3;169,3;156,3;244,3;130,7;127,3;180,7;109,2;127,8;303,8;152,4;107,1;112,2;274,1;35,4;308,4;259,4;89;180,4;230;215;75,4;128,2;90;107,6;178,6;175,8;146;184,7;50,6;168,4;139,7;87,4;112,6;207,7;257,4;103,4;57,7;183,2;108,7;192,4;39,8;165,3;141;114,3;184,1;82;163,1;43,3;161;66,4;198,4;147,7
OUTUBRO;;250;102,8;290;168,6;189,7;201,7;20,1;338,7;154,3;205;141,1;342,2;232;149,8;179,3;206,2;114,2;265,4;212,2;167;99;195,2;316,8;245,4;151;352,9;142,2;167;337,2;164,9;137,2;142,4;170,6;149,8;217,2;29,2;97,4;369,1;169,5;208,6;378,7;159,7;59,6;221,2;180;206,4;140;189,4;296,4;151;173,7;300;146,8;165;344,2;256,8;150,6;152,1;419,4;156,8;166;138,2;452,4;318,3;180,9;111,3;206,2;198,6;203,3;247,2;260,1;174,1;79,8;161,5;220;50,8;96,4;330,3;208;137;192,4
NOVEMBRO;;254,8;234,6;268,7;306,6;211,7;396,3;94,9;347,8;159,1;204,2;216,4;129,7;208,8;194,9;237,3;144,8;229,8;375,8;374,9;109,2;314,8;80,1;101,6;270,3;106,1;429,3;147,8;90,1;430,4;109,2;143,2;61,9;93,2;276,4;55,6;164,3;182,6;78,6;285,7;192,3;187,4;420,9;253,4;243,6;186,8;470,8;152,4;306,4;150,8;128;150,4;430,8;89,6;375,4;243,4;154;210,6;192,6;236,2;187,7;189,9;221,9;132,2;198,7;163,1;162,9;57,6;203,2;242,5;161,6;156,4;106,1;181,1;300;86,9;125,3;219,5;106,4;187,9;238,9;157,1
DEZEMBRO;;190,2;121,9;146,4;167,6;167,8;398,7;367,6;99,9;348,7;388,6;338,7;301,5;109,3;224,5;182,8;243,1;313,7;191;252,7;261,6;613,9;425;257;134,2;175,3;412,1;192,6;146,8;149,9;147,6;166,1;128,2;240,6;422,9;173,4;136;230,2;209,7;289,2;260;335;544;152,1;274,6;235,6;373,4;322,8;452,2;133,8;238,8;167,6;266,2;195,8;176,6;642,9;478,5;378,7;108,3;365,6;335,8;355,2;297,1;373,2;91,1;153,9;249,7;188,8;196,2;111,2;174,7;259,2;290,5;134,7;370,4;156,7;232,8;307,6;120,1;232,3;227,4;262
